| cinder             | BASE TABLE | messages                                           |
| cinder             | BASE TABLE | quota_classes                                      |
| cinder             | BASE TABLE | quota_usages                                       |
| cinder             | BASE TABLE | quotas                                             |
| cinder             | BASE TABLE | reservations                                       |
| cinder             | BASE TABLE | services                                           |
| cinder             | BASE TABLE | transfers                                          |
| cinder             | BASE TABLE | volume_admin_metadata                              |
| cinder             | BASE TABLE | volume_attachment                                  |
| cinder             | BASE TABLE | volume_glance_metadata                             |
| cinder             | BASE TABLE | volumes                                            |
| cinder             | BASE TABLE | workers                                            |
| glance             | BASE TABLE | alembic_version                                    |
| glance             | BASE TABLE | image_locations                                    |
| glance             | BASE TABLE | image_properties                                   |
| glance             | BASE TABLE | images  
| keystone           | BASE TABLE | assignment                                         |
| keystone           | BASE TABLE | endpoint                                           |
| keystone           | BASE TABLE | local_user                                         |
| keystone           | BASE TABLE | migrate_version                                    |
| keystone           | BASE TABLE | password                                           |
| keystone           | BASE TABLE | project                                            |
| keystone           | BASE TABLE | revocation_event                                   |
| keystone           | BASE TABLE | role                                               |
| keystone           | BASE TABLE | service                                            |
| keystone           | BASE TABLE | user                                               |
| nova               | BASE TABLE | block_device_mapping                               |
| nova               | BASE TABLE | compute_nodes                                      |
| nova               | BASE TABLE | instance_actions                                   |
| nova               | BASE TABLE | instance_actions_events                            |
| nova               | BASE TABLE | instance_extra                                     |
| nova               | BASE TABLE | instance_faults                                    |
| nova               | BASE TABLE | instance_id_mappings                               |
| nova               | BASE TABLE | instance_info_caches                               |
| nova               | BASE TABLE | instance_metadata                                  |
| nova               | BASE TABLE | instance_system_metadata                           |
| nova               | BASE TABLE | instances                                          |
| nova               | BASE TABLE | migrations                                         |
| nova               | BASE TABLE | quota_usages                                       |
| nova               | BASE TABLE | quotas                                             |
| nova               | BASE TABLE | reservations                                       |
| nova               | BASE TABLE | s3_images                                          |
| nova               | BASE TABLE | security_groups                                    |
| nova               | BASE TABLE | services                                           |
| nova               | BASE TABLE | virtual_interfaces                                 |
